period,product,n_with_delay,p_ge_15,p_ge_30,p_ge_45,p_ge_60,p_ge_90,p_ge_120
2024-01+07_weighted,dep,1139308,0.2651082938064158,0.18325860961215054,0.13605276185193116,0.1050032124763453,0.06732946665870862,0.04529767192014802
2024-01+07_weighted,arr,1139308,0.27058091402851553,0.18663960930670195,0.13834713703405926,0.1068929560750912,0.06836430535026525,0.0461025464580254
