period,product,n_scheduled,n_operated,n_with_delay,p_ge_15,p_ge_30,p_ge_45,p_ge_60,p_ge_90,p_ge_120,mean_delay_min,median_delay_min
2024-01,dep,547271,525370,525370,0.23090964463140262,0.1547347583607743,0.11265393912861411,0.08569579534423359,0.05442830766888098,0.03628490397243847,15.540472428954832,-2.0
2024-01,arr,547271,525370,525370,0.24061137864742943,0.15944953080685992,0.11536060300359746,0.08781049546034224,0.05566553095913356,0.0375868435578735,10.3522983801892,-5.0
2024-07,dep,634613,613938,613938,0.2943733732070665,0.20766754949196825,0.15607602070567386,0.12152530060038635,0.07836947704817099,0.053010238818903536,22.2287120197805,0.0
2024-07,arr,634613,613938,613938,0.2962269805745857,0.20990718932530647,0.15801758483755687,0.12322254038681431,0.07923112757314256,0.05338975596884376,18.092325283660564,-2.0
